county_fips,county,grid_independence,prepper_density,covid_compliance,score_I,infrastructure_category
37001,Alamance,0.4595113188986659,0.07731508492573887,0.8991924155733452,0.24234636031546658,Low
37003,Alexander,0.463341092013588,0.0906980461243459,0.8225001786677629,0.3111691020932683,Low
37005,Alleghany,0.5000947949419644,0.09090891863389267,0.649922428778265,0.44457683993106545,Medium
37007,Anson,0.6228935204958019,0.20092705837202332,0.4360206107604508,0.8139959168130766,High
37009,Ashe,0.6377684730196082,0.12576431311138314,0.5599500767485874,0.6440182872730233,Medium
37011,Avery,0.6613852552253794,0.15045766949250605,0.5889512229894929,0.6761767978392066,High
37013,Beaufort,0.37022511869846275,0.06089551770854932,0.8201586932093858,0.20714281472945367,Low
37015,Bertie,0.4542710753113156,0.1696885402410454,0.5979279215630409,0.5531764955341779,Medium
37017,Bladen,0.7006626761565333,0.16980587295546531,0.6893795897331774,0.6673421240425123,High
37019,Brunswick,0.7856761780974097,0.11850485143570869,0.4795728440604955,0.786851681304498,High
37021,Buncombe,0.348258901847169,0.04879296164757261,0.7652325921034291,0.20955376657036145,Low
37023,Burke,0.5191483430950377,0.033911619414306184,0.5852781110555603,0.4199808466902978,Medium
37025,Cabarrus,0.2896054361487818,0.09260955860624007,0.7575370168405876,0.23370076186449795,Low
37027,Caldwell,0.23577443247881988,0.11187505222607465,0.8265296229934304,0.17972456784824709,Low
37029,Camden,0.45805791167567317,0.18027344219764924,0.6699363339819083,0.525415112273762,Medium
37031,Carteret,0.3310523794021477,0.02689215393672188,0.5770623729210755,0.28491891207087255,Low
37033,Caswell,0.48648643811813336,0.2180879263960846,0.7187401693894996,0.5665518718820312,Medium
37035,Catawba,0.24298377364600685,0.04359060345950812,0.6079321786285514,0.22742924999227881,Low
37037,Chatham,0.26521230782294225,0.1037490789002492,0.6662512444292287,0.2889574552364518,Low
37039,Cherokee,0.3090054924159744,0.042739562087711264,0.7627630378279906,0.1755489966964249,Low
37041,Chowan,0.5827569944349421,0.19884993036865778,0.47195293293147317,0.7608840178621604,High
37043,Clay,0.7257264610500723,0.1707443063460278,0.4399935550194907,0.8415249080697734,High
37045,Cleveland,0.3450766044712697,0.1063518140612957,0.8730360811294697,0.21902528207182437,Low
37047,Columbus,0.3629950428115846,0.06808369780890736,0.8714591537287554,0.1799901908134484,Low
37049,Craven,0.4054738784477986,0.023284667024343834,0.8694623120076951,0.14931273949949853,Low
37051,Cumberland,0.28687925496500316,0.07776319540915472,0.6079296610997909,0.30474201702535353,Low
37053,Currituck,0.4618577060863083,0.11229463422655149,0.6731734976411307,0.4328522058614887,Medium
37055,Dare,0.5471555104202963,0.09401944281621942,0.4744382745194292,0.5909258880407842,Medium
37057,Davidson,0.38031078884238445,0.11755413156827561,0.7106461458059546,0.3600924307810024,Medium
37059,Davie,0.39505687911151677,0.10606320178907339,0.7372744016267806,0.3379734722389901,Medium
37061,Duplin,0.26456200499659965,0.0499595911766477,0.6584779241940139,0.21962096441042786,Low
37063,Durham,0.3390613404101593,0.06267889053367494,0.8299237077259943,0.18186696250471535,Low
37065,Edgecombe,0.3222854496672666,0.06682318284413793,0.7687415954678684,0.21405183615180545,Low
